StationNumber,Lat,Lon,Address,State,City,County,Zip
722107,32.674,-102.653,"416 Co Rd 300-J, Seminole, TX 79360, USA",TX,Seminole,Gaines County,79360
722112,32.698,-94.949,"40 Aviation Dr, Gilmer, TX 75645, USA",TX,Gilmer,Upshur County,75645
722122,32.7,-100.95,"Holbrook-Winston Lease Rd, Snyder, TX 79549, USA",TX,Snyder,Scurry County,79549
722143,32.583,-96.717,"2300 W Belt Line Rd, Lancaster, TX 75146, USA",TX,Lancaster,Dallas County,75146
722159,26.179,-97.974,"Mid Valley Airport-T65, 1909 Joe Stephens Ave, Weslaco, TX 78599, USA",TX,Weslaco,Hidalgo County,78599
722169,31.383,-103.5,"200 S Frontage Rd, Pecos, TX 79772, USA",TX,Pecos,Reeves County,79772
722174,34.167,-101.717,"1212 S Columbia St, Plainview, TX 79072, USA",TX,Plainview,Hale County,79072
722192,32.467,-100.467,"Homer K. Taylor Dr, Sweetwater, TX 79556, USA",TX,Sweetwater,Nolan County,79556
722202,29.217,-99.75,"130 Howard Langford Dr, Uvalde, TX 78801, USA",TX,Uvalde,Uvalde County,78801
722214,35.858,-102.013,"6243 FM 119, Dumas, TX 79029, USA",TX,Dumas,Moore County,79029
722324,32.037,-102.101,"Midland, TX 79705, USA",TX,Midland,,79705
722351,29.254,-96.154,"Wharton, TX 77488, USA",TX,Wharton,Wharton County,77488
722338,27.35,-98.733,"Gruy Ranch Rd, Hebbronville, TX 78361, USA",TX,Hebbronville,Jim Hogg County,78361
722362,33.167,-95.617,"1723 Airport Rd, Sulphur Springs, TX 75482, USA",TX,Sulphur Springs,Hopkins County,75482
722363,29.947,-100.174,"TX-55, Rocksprings, TX 78880, USA",TX,Rocksprings,Edwards County,78880
722427,29.517,-95.25,"17825 TX-35, Pearland, TX 77581, USA",TX,Pearland,Brazoria County,77581
722429,30.067,-95.55,"20803 Stuebner Airline Rd, Spring, TX 77379, USA",TX,Spring,Harris County,77379
722444,30.35,-95.417,"Conroe-North Houston Regional Airport, 10260 Carl Pickering Memorial Dr, Conroe, TX 77303, USA",TX,Conroe,Montgomery County,77303
722469,32.033,-96.4,"SE County Rd 1090, Corsicana, TX 75109, USA",TX,Corsicana,Navarro County,75109
722447,30.733,-95.583,"75 N Fwy Service Rd, Huntsville, TX 77320, USA",TX,Huntsville,Walker County,77320
722479,32.667,-97.1,"600 E Interstate 20, Arlington, TX 76018, USA",TX,Arlington,Tarrant County,76018
722489,32.717,-96.267,"1501 Airport Rd, Terrell, TX 75160, USA",TX,Terrell,Kaufman County,75160
722499,31.578,-94.71,"557 Terry Crawford Dr, Nacogdoches, TX 75964, USA",TX,Nacogdoches,Nacogdoches County,75964
722539,29.9,-97.867,"San Marcos Regional Airport, 1807 Airport Dr, San Marcos, TX 78666, USA",TX,San Marcos,Caldwell County,78666
722537,29.977,-99.086,"1877 Airport Loop, Kerrville, TX 78028, USA",TX,Kerrville,Kerr County,78028
